establish	vi. 植物定植 vt. 建立；创办；安置
advisable	adj. 明智的，可取的，适当的
advisability	n. 明智；可劝性；适当
cautious	adj. 谨慎的；十分小心的
caution	n. 小心，谨慎；警告，警示 vt. 警告
affirm	vt. 肯定；断言 vi. 确认；断言
instead	adv. 代替；反而；相反
rather than	na. 而不 而不是；宁愿；与其
frank	n. 免费邮寄特权 adj. 坦白的，直率的；老实的 vt. 免费邮寄
frankly	adv. 真诚地，坦白地
indifferent	adj. 漠不关心的；无关紧要的；中性的，中立的
indifference	n. 漠不关心；冷淡；不重视；中立
uncertain	adj. 无常的；含糊的；靠不住的；迟疑不决的
uncertainty	n. 不确定，不可靠
envy	n. 嫉妒，妒忌；羡慕 vt. 嫉妒，妒忌；羡慕 vi. 感到妒忌；显示出妒忌
cater	vt. 投合，迎合；满足需要；提供饮食及服务
dramatic	adj. 戏剧的；急剧的；引人注目的；激动人心的
dramatically	adv. 戏剧地；引人注目地 adv. 显著地，剧烈地
inevitable	adj. 必然的，不可避免的
inevitably	adv. 不可避免地；必然地
fundamental	n. 基本原理；基本原则 adj. 基本的，根本的
fundamentally	adv. 根本地，从根本上；基础地
objective	adj. 客观的；目标的；宾格的 n. 目的；目标； 物镜；宾格
symbol	n. 象征；符号；标志
symbolize	vt. 象征；用符号表现 vi. 采用象征；使用符号；作为…的象征
symbolic	adj. 象征的；符号的；使用符号的
alongside	prep. 在……旁边 adv. 在旁边
entire	adj. 全部的，整个的；全体的
entirely	adv. 完全地，彻底地
shock	n. 休克；震惊；震动；打击；禾束堆 adj. 浓密的；蓬乱的 vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆 vi. 感到震惊；受到震动；堆成禾束堆
shocking	adj. 令人震惊的；可怕的，令人厌恶的；糟糕的 v. 感到震惊；震动；冲突（shock的ing形式）
mere	adj. 仅仅的；只不过的 n. 小湖；池塘
merely	adv. 仅仅，只不过；只是
anti-regulatory	反管制的
anti-	pref. 表示“反对，抵抗”之义
surpass	vt. 超越；胜过，优于；非…所能办到或理解
unsurpassed	adj. 非常卓越的；未被超越的
surplus	n. 剩余； 顺差；盈余；过剩 adj. 剩余的；过剩的
interrelation	n. 相互关系
interact	n. 幕间剧；幕间休息 vt. 互相影响；互相作用 vi. 互相影响；互相作用
foreshadow	vt. 预示；成为…的前兆 n. 预兆
forecast	n. 预测，预报；预想 vt. 预报，预测；预示 vi. 进行预报，作预测
overestimate	vt. 对……评价过高；对……估计过高 n. 估计过高；评价过高；出价过高 vi. 估计过高；评价过高
overvalue	vt. 对…估价过高；过分重视
overcharge	n. 过度充电；超载；装药过多 vt. 对……索价过高；使……过度充电 vi. 过度充电；讨价过高
overlook	vt. 忽略；俯瞰；远眺；检查；高耸于…之上 n. 忽视；眺望
underestimate	n. 低估 vt. 低估；看轻
undergo	vt. 经历，经受；忍受
unreasonable	adj. 不合理的；过度的；不切实际的；非理智的
unnecessary	adj. 不必要的；多余的，无用的
unfocused	adj. 不聚成焦点的
focused	v. 聚焦；注视（focus的过去分词） adj. 聚焦的；专心的
unsettling	adj. 使人不安的；（消息）扰乱的 v. 动乱不定；心绪不宁（unsettle的ing形式）
settle	n. 有背长椅 vi. 解决；定居；沉淀；下陷 vt. 解决；安排；使…定居
impatience	n. 急躁；无耐心
immoral	adj. 不道德的；邪恶的；淫荡的
inequality	n. 不平等；不同；不平均
disapproval	n. 不赞成；不喜欢
disagree	vi. 不同意；不一致；争执；不适宜
dismiss	vt. 解散；解雇；开除；让...离开；不予理会、不予考虑 vi. 解散
diminish	vt. 使减少；使变小 vi. 减少，缩小；变小
devalue	vt. 使贬值；降低…的价值 vi. 贬值
deserve	vi. 应受，应得 vt. 应受，应得
defame	v. 诽谤；中伤
fame	n. 名声，名望；传闻，传说 vt. 使闻名，使有名望
deforestation	n. 采伐森林；森林开伐
demotivated	(demotivate 的过去分词) v. 使失去动力
